1596992400000;110
1597078800000;3715
1597165200000;903
1597251600000;162
1597338000000;403
1597424400000;11965
1597510800000;126
1597597200000;364
1597683600000;190
1597770000000;199
1597856400000;8948
1597942800000;3897
1598029200000;1759
1598115600000;211
1598202000000;336
1598288400000;370
1598374800000;358
1598461200000;7435
1598547600000;5363
1598634000000;7282
1598720400000;310
1598806800000;2731
1598893200000;876
1598979600000;1379
1599066000000;1740
1599152400000;162
1599238800000;1886
1599325200000;389
1599411600000;4570
1599498000000;12735
1599584400000;4775
1599670800000;5309
1599757200000;4956
1599843600000;2690
1599930000000;10024
1600016400000;4684
1600102800000;16073
1600189200000;8586
1600275600000;7418
1600362000000;10627
1600448400000;3692
1600534800000;476
1600621200000;6331
1600707600000;4971
1600794000000;5878
1600880400000;5223
1600898400000;183
1600966800000;4420
1601053200000;973
1601139600000;1205
1601226000000;6390
1601312400000;4614
1601398800000;5891
1601485200000;15414
1601571600000;6064
1601658000000;2307
1601744400000;2956
1601830800000;2748
1601917200000;19150
1602003600000;6057
1602090000000;6576
1602176400000;5113
1602262800000;4309
1602349200000;2511
1602435600000;4927
1602522000000;5417
1602608400000;8931
1602694800000;14011
1602781200000;5567
1602867600000;2507
1602954000000;9770
1603040400000;8139
1603126800000;6097
1603213200000;6754
1603299600000;12040
1603386000000;3822
1603472400000;3284
1603558800000;12547
1603645200000;8689
1603731600000;3901
1603818000000;4294
1603904400000;5087
1603990800000;6297
1604077200000;12509
1604163600000;9614
1604250000000;4610
1604336400000;19208
1604422800000;7032
1604509200000;5663
1604595600000;8126
1604682000000;9561
1604768400000;8553
1604854800000;8492
1604941200000;5296
1605027600000;13662
1605114000000;6894
1605200400000;10098
1605286800000;7223
1605373200000;4702
1605459600000;10144
1605546000000;3415
1605632400000;4034
1605718800000;10933
1605805200000;17011
1605891600000;3923
1605978000000;7974
1606064400000;6154
1606150800000;379
1606237200000;7672
1606323600000;10053
1606410000000;7699
1606496400000;6968
1606582800000;2145
1606669200000;5810
1606755600000;10622
1606842000000;4751
1606928400000;4417
1607014800000;7429
1607101200000;4468
1607187600000;5563
1607274000000;4811
1607360400000;8987
1607446800000;5621
1607533200000;4448
1607619600000;14949
1607706000000;7879
1607792400000;4322
1607878800000;5386
1607965200000;13627
1608051600000;11419
1608138000000;11586
1608224400000;12831
1608310800000;6987
1608397200000;13052
1608483600000;10433
1608570000000;1766
1608656400000;5201
1608742800000;9140
1608829200000;9339
1608915600000;4303
1609002000000;4942
1609088400000;2909
1609174800000;6041
1609261200000;2817
1609347600000;7974
1609434000000;366
1609520400000;9439
1609606800000;21321
1609693200000;2759
1609779600000;8828
1609866000000;2971
1609952400000;5291
1610038800000;3866
1610125200000;3733
1610211600000;5022
1610298000000;5394
1610384400000;5322
1610470800000;4542
1610557200000;4404
1610643600000;8671
1610730000000;13082
1610816400000;5523
1610902800000;4421
1610989200000;7311
1611075600000;6838
1611162000000;16182
1611248400000;13795
1611334800000;8133
1611421200000;10769
1611507600000;6026
1611594000000;0
1612976400000;80
1613667600000;4890
